# Created by ensembl_prep v1.2.0 based on Ensembl release 75 (genome build GRCh37)
ENSG	GENE	ENST
ENSG00000109738	GLRB	ENST00000264428
ENSG00000162592	CCDC27	ENST00000294600
ENSG00000162591	MEGF6	ENST00000356575
ENSG00000172289	OR10V1	ENST00000307552
ENSG00000170379	FAM115C	ENST00000444908
ENSG00000029363	BCLAF1	ENST00000531224
ENSG00000162595	DIRAS3	ENST00000370981
ENSG00000162594	IL23R	ENST00000395227
ENSG00000167394	ZNF668	ENST00000539836
ENSG00000187109	NAP1L1	ENST00000261182
ENSG00000268846	AC018867.2	ENST00000595956
ENSG00000118640	VAMP8	ENST00000263864
ENSG00000185128	TBC1D3F	ENST00000327454
ENSG00000099840	IZUMO4	ENST00000395301
ENSG00000168488	ATXN2L	ENST00000395547
ENSG00000159961	OR3A3	ENST00000291231
ENSG00000090776	EFNB1	ENST00000204961
ENSG00000115073	ACTR1B	ENST00000289228
ENSG00000068354	TBC1D25	ENST00000376771
ENSG00000253148	RGS21	ENST00000417209
ENSG00000171490	RSL1D1	ENST00000571133
ENSG00000213853	EMP2	ENST00000359543
ENSG00000029534	ANK1	ENST00000265709
ENSG00000213585	VDAC1	ENST00000265333
ENSG00000138696	BMPR1B	ENST00000440890
ENSG00000250173	RP11-661C8.3	ENST00000511936
ENSG00000158786	PLA2G2F	ENST00000375102
ENSG00000213588	ZBTB9	ENST00000395064
ENSG00000213859	KCTD11	ENST00000333751
ENSG00000138698	RAP1GDS1	ENST00000339360
ENSG00000014216	CAPN1	ENST00000527323
ENSG00000105127	AKAP8	ENST00000269701
ENSG00000112685	EXOC2	ENST00000230449
ENSG00000039068	CDH1	ENST00000261769
ENSG00000271043	MTRNR2L2	ENST00000604882
ENSG00000070269	TMEM260	ENST00000261556
ENSG00000186564	FOXD2	ENST00000334793
ENSG00000186566	GPATCH8	ENST00000591680
ENSG00000186567	CEACAM19	ENST00000403660
ENSG00000186562	DEFB105A	ENST00000334773
ENSG00000146555	SDK1	ENST00000404826
ENSG00000146223	RPL7L1	ENST00000493763
ENSG00000146221	TCTE1	ENST00000371505
ENSG00000060709	RIMBP2	ENST00000261655
ENSG00000051009	FAM160A2	ENST00000265978
ENSG00000158234	FAIM	ENST00000338446
ENSG00000133317	LGALS12	ENST00000340246
ENSG00000055070	SZRD1	ENST00000401088
ENSG00000133315	MACROD1	ENST00000255681
ENSG00000141027	NCOR1	ENST00000268712
ENSG00000133313	CNDP2	ENST00000324262
ENSG00000137343	ATAT1	ENST00000330083
ENSG00000172867	KRT2	ENST00000309680
ENSG00000100519	PSMC6	ENST00000445930
ENSG00000181085	MAPK15	ENST00000338033
ENSG00000118946	PCDH17	ENST00000377918
ENSG00000198892	SHISA4	ENST00000362011
ENSG00000198890	PRMT6	ENST00000370078
ENSG00000162337	LRP5	ENST00000294304
ENSG00000066427	ATXN3	ENST00000393287
ENSG00000066422	ZBTB11	ENST00000312938
ENSG00000172869	DMXL1	ENST00000311085
ENSG00000182010	RTKN2	ENST00000373789
ENSG00000182013	PNMAL1	ENST00000313683
ENSG00000157578	LCA5L	ENST00000358268
ENSG00000130962	PRRG1	ENST00000542554
ENSG00000127903	ZNF835	ENST00000537055
ENSG00000108064	TFAM	ENST00000487519
ENSG00000157570	TSPAN18	ENST00000340160
ENSG00000108061	SHOC2	ENST00000369452
ENSG00000102125	TAZ	ENST00000299328
ENSG00000204178	TMEM57	ENST00000374343
ENSG00000204179	PTPN20A	ENST00000374339
ENSG00000067082	KLF6	ENST00000497571
ENSG00000204174	NPY4R	ENST00000374312
ENSG00000204175	GPRIN2	ENST00000374314
ENSG00000204176	SYT15	ENST00000374321
ENSG00000204172	AGAP10	ENST00000413193
ENSG00000124067	SLC12A4	ENST00000422611
ENSG00000121621	KIF18A	ENST00000263181
ENSG00000181938	GINS3	ENST00000426538
ENSG00000164659	KIAA1324L	ENST00000450689
ENSG00000142449	FBN3	ENST00000600128
ENSG00000174428	GTF2IRD2B	ENST00000312575
ENSG00000174429	ABRA	ENST00000311955
ENSG00000178372	CALML5	ENST00000380332
ENSG00000164651	SP8	ENST00000418710
ENSG00000181284	TMEM102	ENST00000323206
ENSG00000179213	SIGLECL1	ENST00000316401
ENSG00000164654	MIOS	ENST00000340080
ENSG00000181935	OR4C16	ENST00000314634
ENSG00000149187	CELF1	ENST00000532048
ENSG00000169740	ZNF32	ENST00000395797
ENSG00000176490	DIRAS1	ENST00000323469
ENSG00000159714	ZDHHC1	ENST00000348579
ENSG00000105472	CLEC11A	ENST00000250340
ENSG00000212670	AL161915.1	ENST00000391366
ENSG00000212673	AL136115.1	ENST00000391369
ENSG00000256436	TAS2R31	ENST00000390675
ENSG00000142507	PSMB6	ENST00000270586
ENSG00000268156	FKSG61	ENST00000595520
ENSG00000251258	RFPL4B	ENST00000441065
ENSG00000100065	CARD10	ENST00000403299
ENSG00000132382	MYBBP1A	ENST00000381556
ENSG00000073464	CLCN4	ENST00000380833
ENSG00000101977	MCF2	ENST00000519895
ENSG00000101974	ATP11C	ENST00000327569
ENSG00000101972	STAG2	ENST00000218089
ENSG00000227234	SPANXB2	ENST00000449283
ENSG00000253710	ALG11	ENST00000521508
ENSG00000269404	SPIB	ENST00000595883
ENSG00000269155	AL009178.1	ENST00000597278
ENSG00000007516	BAIAP3	ENST00000324385
ENSG00000134940	ACRV1	ENST00000533904
ENSG00000072736	NFATC3	ENST00000346183
ENSG00000174437	ATP2A2	ENST00000539276
ENSG00000215644	GCGR	ENST00000400723
ENSG00000100060	MFNG	ENST00000356998
ENSG00000119508	NR4A3	ENST00000330847
ENSG00000116574	RHOU	ENST00000366691
ENSG00000130349	C6orf203	ENST00000443043
ENSG00000130348	QRSL1	ENST00000369046
ENSG00000054654	SYNE2	ENST00000358025
ENSG00000151923	TIAL1	ENST00000369093
ENSG00000005001	PRSS22	ENST00000161006
ENSG00000130340	SNX9	ENST00000392185
ENSG00000180881	CAPS2	ENST00000409445
ENSG00000073598	FNDC8	ENST00000158009
ENSG00000130347	RTN4IP1	ENST00000369063
ENSG00000099949	LZTR1	ENST00000215739
ENSG00000165309	ARMC3	ENST00000298032
ENSG00000178573	MAF	ENST00000326043
ENSG00000107562	CXCL12	ENST00000395794
ENSG00000151012	SLC7A11	ENST00000280612
ENSG00000165304	MELK	ENST00000298048
ENSG00000151014	CCRN4L	ENST00000280614
ENSG00000107566	ERLIN1	ENST00000421367
ENSG00000165300	SLITRK5	ENST00000325089
ENSG00000141858	SAMD1	ENST00000533683
ENSG00000145850	TIMD4	ENST00000274532
ENSG00000129451	KLK10	ENST00000309958
ENSG00000150093	ITGB1	ENST00000396033
ENSG00000196539	OR2T3	ENST00000359594
ENSG00000174136	RGMB	ENST00000308234
ENSG00000174137	FAM53A	ENST00000308132
ENSG00000154007	ASB17	ENST00000284142
ENSG00000174132	FAM174A	ENST00000312637
ENSG00000196533	C1orf186	ENST00000331555
ENSG00000174130	TLR6	ENST00000436693
ENSG00000196531	NACA	ENST00000550952
ENSG00000198791	CNOT7	ENST00000361272
ENSG00000197959	DNM3	ENST00000358155
ENSG00000198793	MTOR	ENST00000361445
ENSG00000198794	SCAMP5	ENST00000361900
ENSG00000198795	ZNF521	ENST00000361524
ENSG00000197779	ZNF81	ENST00000376954
ENSG00000189252	SPANXN3	ENST00000370503
ENSG00000197953	AADACL2	ENST00000356517
ENSG00000198799	LRIG2	ENST00000361127
ENSG00000197775	DHRS4-AS1	ENST00000354854
ENSG00000150722	PPP1R1C	ENST00000280295
ENSG00000197956	S100A6	ENST00000496817
ENSG00000197771	MCMBP	ENST00000360003
ENSG00000129474	AJUBA	ENST00000262713
ENSG00000129450	SIGLEC9	ENST00000440804
ENSG00000072310	SREBF1	ENST00000355815
ENSG00000161682	FAM171A2	ENST00000293443
ENSG00000128283	CDC42EP1	ENST00000249014
ENSG00000153714	LURAP1L	ENST00000319264
ENSG00000159267	HLCS	ENST00000399120
ENSG00000103260	METRN	ENST00000568223
ENSG00000187080	OR2AK2	ENST00000366480
ENSG00000115084	SLC35F5	ENST00000245680
ENSG00000214447	FAM187A	ENST00000331733
ENSG00000113430	IRX4	ENST00000505790
ENSG00000085978	ATG16L1	ENST00000392017
ENSG00000140319	SRP14	ENST00000267884
ENSG00000012817	KDM5D	ENST00000541639
ENSG00000169248	CXCL11	ENST00000306621
ENSG00000169249	ZRSR2	ENST00000307771
ENSG00000169246	NPIPB3	ENST00000458643
ENSG00000169247	SH3TC2	ENST00000515425
ENSG00000169245	CXCL10	ENST00000306602
ENSG00000169242	EFNA1	ENST00000368407
ENSG00000169241	SLC50A1	ENST00000368404
ENSG00000107581	EIF3A	ENST00000369144
ENSG00000183864	TOB2	ENST00000327492
ENSG00000183862	CNGA2	ENST00000329903
ENSG00000174669	SLC29A2	ENST00000357440
ENSG00000157470	FAM81A	ENST00000288228
ENSG00000166484	MAPK7	ENST00000308406
ENSG00000100285	NEFH	ENST00000310624
ENSG00000189280	GJB5	ENST00000338513
ENSG00000124217	MOCS3	ENST00000244051
ENSG00000124214	STAU1	ENST00000371856
ENSG00000189283	FHIT	ENST00000468189
ENSG00000189159	HN1	ENST00000356033
ENSG00000247596	TWF2	ENST00000305533
ENSG00000120907	ADRA1A	ENST00000380586
ENSG00000111341	MGP	ENST00000228938
ENSG00000205971	AC074389.6	ENST00000382528
ENSG00000141540	TTYH2	ENST00000269346
ENSG00000111344	RASAL1	ENST00000546530
ENSG00000185272	RBM11	ENST00000400577
ENSG00000161970	RPL26	ENST00000584164
ENSG00000117228	GBP1	ENST00000370473
ENSG00000175073	VCPIP1	ENST00000310421
ENSG00000135446	CDK4	ENST00000257904
ENSG00000135441	BLOC1S1	ENST00000548925
ENSG00000100281	HMGXB4	ENST00000216106
ENSG00000079215	SLC1A3	ENST00000265113
ENSG00000082014	SMARCD3	ENST00000262188
ENSG00000117222	RBBP5	ENST00000264515
ENSG00000185133	INPP5J	ENST00000331075
ENSG00000185130	HIST1H2BL	ENST00000377401
ENSG00000117226	GBP3	ENST00000370481
ENSG00000068366	ACSL4	ENST00000340800
ENSG00000229549	TSPY8	ENST00000287721
ENSG00000104901	DKKL1	ENST00000221498
ENSG00000229544	NKX1-2	ENST00000451024
ENSG00000152380	FAM151B	ENST00000282226
ENSG00000169020	ATP5I	ENST00000304312
ENSG00000152382	TADA1	ENST00000367874
ENSG00000160087	UBE2J2	ENST00000400930
ENSG00000036054	TBC1D23	ENST00000394144
ENSG00000104903	LYL1	ENST00000264824
ENSG00000213203	GIMAP1	ENST00000307194
ENSG00000100258	LMF2	ENST00000474879
ENSG00000102119	EMD	ENST00000369842
ENSG00000105464	GRIN2D	ENST00000263269
ENSG00000095110	NXPE1	ENST00000251921
ENSG00000105467	SYNGR4	ENST00000344846
ENSG00000113657	DPYSL3	ENST00000343218
ENSG00000002587	HS3ST1	ENST00000002596
ENSG00000002586	CD99	ENST00000381192
ENSG00000048649	RSF1	ENST00000308488
ENSG00000173821	RNF213	ENST00000582970
ENSG00000214078	CPNE1	ENST00000317677
ENSG00000150873	C2orf50	ENST00000381585
ENSG00000118418	HMGN3	ENST00000344726
ENSG00000139053	PDE6H	ENST00000266395
ENSG00000162512	SDC3	ENST00000339394
ENSG00000269190	FBXO17	ENST00000292852
ENSG00000160883	HK3	ENST00000292432
ENSG00000160882	CYP11B1	ENST00000292427
ENSG00000196597	ZNF782	ENST00000481138
ENSG00000160886	LY6K	ENST00000292430
ENSG00000110169	HPX	ENST00000265983
ENSG00000173908	KRT28	ENST00000306658
ENSG00000205213	LGR4	ENST00000379214
ENSG00000158623	COPG2	ENST00000445977
ENSG00000146910	CNPY1	ENST00000321736
ENSG00000106384	MOGAT3	ENST00000223114
ENSG00000177954	RPS27	ENST00000368567
ENSG00000188493	C19orf54	ENST00000378313
ENSG00000177951	BET1L	ENST00000382762
ENSG00000143669	LYST	ENST00000389794
ENSG00000156097	GPR61	ENST00000527748
ENSG00000156096	UGT2B4	ENST00000305107
ENSG00000198242	RPL23A	ENST00000422514
ENSG00000135070	ISCA1	ENST00000375991
ENSG00000143842	SOX13	ENST00000367204
ENSG00000198246	SLC29A3	ENST00000373189
ENSG00000143845	ETNK2	ENST00000367202
ENSG00000143847	PPFIA4	ENST00000272198
ENSG00000135917	SLC19A3	ENST00000258403
ENSG00000135916	ITM2C	ENST00000326427
ENSG00000135914	HTR2B	ENST00000258400
ENSG00000135913	USP37	ENST00000258399
ENSG00000014914	MTMR11	ENST00000439741
ENSG00000037474	NSUN2	ENST00000264670
ENSG00000014919	COX15	ENST00000016171
ENSG00000105609	LILRB5	ENST00000449561
ENSG00000188086	PRSS45	ENST00000442359
ENSG00000244242	IFITM10	ENST00000340134
ENSG00000178394	HTR1A	ENST00000323865
ENSG00000135919	SERPINE2	ENST00000447280
ENSG00000176396	EID2	ENST00000390658
ENSG00000164105	SAP30	ENST00000296504
ENSG00000176390	CRLF3	ENST00000324238
ENSG00000206053	HN1L	ENST00000248098
ENSG00000176393	RNPEP	ENST00000295640
ENSG00000176399	DMRTA1	ENST00000325870
ENSG00000064932	SBNO2	ENST00000361757
ENSG00000064933	PMS1	ENST00000441310
ENSG00000215183	MSMP	ENST00000436428
ENSG00000132694	ARHGEF11	ENST00000368194
ENSG00000136936	XPA	ENST00000375128
ENSG00000143674	MLK4	ENST00000366624
ENSG00000215187	FAM166B	ENST00000399742
ENSG00000136931	NR5A1	ENST00000373588
ENSG00000132693	CRP	ENST00000255030
ENSG00000132692	BCAN	ENST00000329117
ENSG00000181704	YIPF6	ENST00000462683
ENSG00000136938	ANP32B	ENST00000339399
ENSG00000132698	RAB25	ENST00000361084
ENSG00000198522	GPN1	ENST00000264718
ENSG00000166482	MFAP4	ENST00000395592
ENSG00000189139	FSCB	ENST00000340446
ENSG00000206052	DOK6	ENST00000382713
ENSG00000069011	PITX1	ENST00000265340
ENSG00000163673	DCLK3	ENST00000416516
ENSG00000189132	FAM47B	ENST00000329357
ENSG00000144802	NFKBIZ	ENST00000326172
ENSG00000069018	TRPC7	ENST00000513104
ENSG00000168374	ARF4	ENST00000303436
ENSG00000189134	NKAPL	ENST00000343684
ENSG00000147874	HAUS6	ENST00000380502
ENSG00000241058	NSUN6	ENST00000377304
ENSG00000162105	SHANK2	ENST00000338508
ENSG00000182247	UBE2E2	ENST00000396703
ENSG00000188886	ASTL	ENST00000342380
ENSG00000182240	BACE2	ENST00000330333
ENSG00000188883	KLRG2	ENST00000340940
ENSG00000182242	TEX28P1	ENST00000369932
ENSG00000099331	MYO9B	ENST00000595618
ENSG00000244020	MT1HL1	ENST00000464121
ENSG00000164556	FAM183B	ENST00000409072
ENSG00000188888	GPR179	ENST00000342292
ENSG00000244025	KRTAP19-3	ENST00000334063
ENSG00000108654	DDX5	ENST00000225792
ENSG00000116983	HPCAL4	ENST00000372844
ENSG00000003989	SLC7A2	ENST00000004531
ENSG00000186951	PPARA	ENST00000396000
ENSG00000151746	BICD1	ENST00000281474
ENSG00000141699	FAM134C	ENST00000309428
ENSG00000186952	TMEM232	ENST00000455884
ENSG00000260415	AC068987.1	ENST00000599343
ENSG00000105617	LENG1	ENST00000222224
ENSG00000157388	CACNA1D	ENST00000288139
ENSG00000196338	NLGN3	ENST00000358741
ENSG00000003987	MTMR7	ENST00000180173
ENSG00000197355	UAP1L1	ENST00000409858
ENSG00000115268	RPS15	ENST00000586686
ENSG00000010404	IDS	ENST00000340855
ENSG00000204764	RANBP17	ENST00000523189
ENSG00000204767	FAM196B	ENST00000377365
ENSG00000124103	FAM209A	ENST00000371328
ENSG00000115263	GCG	ENST00000418842
ENSG00000119231	SENP5	ENST00000323460
ENSG00000171530	TBCA	ENST00000380377
ENSG00000099308	MAST3	ENST00000262811
ENSG00000115267	IFIH1	ENST00000263642
ENSG00000140443	IGF1R	ENST00000268035
ENSG00000197734	C14orf178	ENST00000355883
ENSG00000100600	LGMN	ENST00000393218
ENSG00000116985	BMP8B	ENST00000372827
ENSG00000047849	MAP4	ENST00000360240
ENSG00000128655	PDE11A	ENST00000286063
ENSG00000105619	TFPT	ENST00000391759
ENSG00000124107	SLPI	ENST00000338380
ENSG00000074621	SLC24A1	ENST00000261892
ENSG00000153975	ZUFSP	ENST00000368576
ENSG00000102471	NDFIP2	ENST00000218652
ENSG00000197353	LYPD2	ENST00000359228
ENSG00000182132	KCNIP1	ENST00000434108
ENSG00000049192	ADAMTS6	ENST00000381055
ENSG00000108384	RAD51C	ENST00000337432
ENSG00000100604	CHGA	ENST00000216492
ENSG00000091140	DLD	ENST00000205402
ENSG00000147571	CRH	ENST00000276571
ENSG00000153233	PTPRR	ENST00000283228
ENSG00000221818	EBF2	ENST00000520164
ENSG00000165689	SDCCAG3	ENST00000357365
ENSG00000108474	PIGL	ENST00000225609
ENSG00000165682	CLEC1B	ENST00000298527
ENSG00000221813	OR6B1	ENST00000408922
ENSG00000166341	DCHS1	ENST00000299441
ENSG00000141741	MIEN1	ENST00000394231
ENSG00000151834	GABRA2	ENST00000540012
ENSG00000165685	TMEM52B	ENST00000381923
ENSG00000158008	EXTL1	ENST00000374280
ENSG00000177042	TMEM80	ENST00000397510
ENSG00000153064	BANK1	ENST00000322953
ENSG00000177047	IFNW1	ENST00000380229
ENSG00000183269	OR52E8	ENST00000537935
ENSG00000177045	SIX5	ENST00000317578
ENSG00000153060	TEKT5	ENST00000283025
ENSG00000120159	CAAP1	ENST00000333916
ENSG00000071677	PRLH	ENST00000165524
ENSG00000154252	GAL3ST2	ENST00000192314
ENSG00000183260	ABHD16B	ENST00000369916
ENSG00000158006	PAFAH2	ENST00000374282
ENSG00000272781	MDGA2	ENST00000439988
ENSG00000111364	DDX55	ENST00000238146
ENSG00000138750	NUP54	ENST00000264883
ENSG00000141232	TOB1	ENST00000499247
ENSG00000138756	BMP2K	ENST00000335016
ENSG00000138757	G3BP2	ENST00000359707
ENSG00000138755	CXCL9	ENST00000264888
ENSG00000172673	THEMIS	ENST00000543064
ENSG00000176383	B3GNT4	ENST00000324189
ENSG00000138758	SEPT11	ENST00000264893
ENSG00000249884	RNF103-CHMP3	ENST00000604011
ENSG00000127824	TUBA4A	ENST00000248437
ENSG00000180071	ANKRD18A	ENST00000399703
ENSG00000102743	SLC25A15	ENST00000338625
ENSG00000181544	FANCB	ENST00000398334
ENSG00000173818	ENDOV	ENST00000518137
ENSG00000139800	ZIC5	ENST00000267294
ENSG00000173812	EIF1	ENST00000469257
ENSG00000011638	TMEM159	ENST00000233047
ENSG00000136750	GAD2	ENST00000376261
ENSG00000185736	ADARB2	ENST00000381312
ENSG00000185737	NRG3	ENST00000372141
ENSG00000185730	ZNF696	ENST00000330143
ENSG00000115488	NEU2	ENST00000233840
ENSG00000136758	YME1L1	ENST00000326799
ENSG00000115486	GGCX	ENST00000233838
ENSG00000115484	CCT4	ENST00000394440
ENSG00000129625	REEP5	ENST00000379638
ENSG00000123454	DBH	ENST00000393056
ENSG00000010322	NISCH	ENST00000345716
ENSG00000122034	GTF3A	ENST00000381140
ENSG00000196236	XPNPEP3	ENST00000357137
ENSG00000010327	STAB1	ENST00000321725
ENSG00000196233	LCOR	ENST00000371097
ENSG00000090097	PCBP4	ENST00000461554
ENSG00000214324	C3orf56	ENST00000398112
ENSG00000213445	SIPA1	ENST00000394224
ENSG00000140941	MAP1LC3B	ENST00000268607
ENSG00000157212	PAXIP1	ENST00000404141
ENSG00000068971	PPP2R5B	ENST00000164133
ENSG00000249087	C1orf213	ENST00000335648
ENSG00000116014	KISS1R	ENST00000234371
ENSG00000116017	ARID3A	ENST00000263620
ENSG00000116016	EPAS1	ENST00000263734
ENSG00000172493	AFF1	ENST00000395146
ENSG00000187391	MAGI2	ENST00000354212
ENSG00000205496	OR51A2	ENST00000380371
ENSG00000205497	OR51A4	ENST00000380373
ENSG00000186335	SLC36A2	ENST00000335244
ENSG00000112062	MAPK14	ENST00000229795
ENSG00000187398	LUZP2	ENST00000336930
ENSG00000179071	CCDC89	ENST00000316398
ENSG00000180219	FAM71C	ENST00000324341
ENSG00000173726	TOMM20	ENST00000366607
ENSG00000011451	WIZ	ENST00000263381
ENSG00000186047	DLEU7	ENST00000400393
ENSG00000157216	SSBP3	ENST00000371320
ENSG00000011454	RABGAP1	ENST00000373647
ENSG00000254737	OR10G4	ENST00000320891
ENSG00000186049	KRT73	ENST00000305748
ENSG00000122033	MTIF3	ENST00000381116
ENSG00000173728	C1orf100	ENST00000308105
ENSG00000119906	FAM178A	ENST00000370269
ENSG00000166821	PEX11A	ENST00000300056
ENSG00000205765	C5orf51	ENST00000381647
ENSG00000090238	YPEL3	ENST00000398841
ENSG00000111540	RAB5B	ENST00000360299
ENSG00000119900	OGFRL1	ENST00000370435
ENSG00000187243	MAGED4B	ENST00000431659
ENSG00000187735	TCEA1	ENST00000521604
ENSG00000183671	GPR1	ENST00000407325
ENSG00000137809	ITGA11	ENST00000315757
ENSG00000183675	PTPN20B	ENST00000374233
ENSG00000205148	AC016251.1	ENST00000378936
ENSG00000250349	TM4SF2	ENST00000465127
ENSG00000140470	ADAMTS17	ENST00000268070
ENSG00000248919	ATP5J2-PTCD1	ENST00000413834
ENSG00000180938	ZNF572	ENST00000319286
ENSG00000205143	ARID3C	ENST00000378909
ENSG00000187612	OR5W2	ENST00000344514
ENSG00000170471	RALGAPB	ENST00000262879
ENSG00000177938	CAPZA3	ENST00000317658
ENSG00000148459	PDSS1	ENST00000376215
ENSG00000116903	EXOC8	ENST00000360394
ENSG00000104154	SLC30A4	ENST00000261867
ENSG00000112280	COL9A1	ENST00000357250
ENSG00000159352	PSMD4	ENST00000368884
ENSG00000112282	MED23	ENST00000368068
ENSG00000170477	KRT4	ENST00000551956
ENSG00000110721	CHKA	ENST00000265689
ENSG00000172322	CLEC12A	ENST00000355690
ENSG00000159256	MORC3	ENST00000400485
ENSG00000104408	EIF3E	ENST00000220849
ENSG00000050030	KIAA2022	ENST00000055682
ENSG00000125676	THOC2	ENST00000245838
ENSG00000117500	TMED5	ENST00000370282
ENSG00000117501	MROH9	ENST00000367759
ENSG00000113083	LOX	ENST00000231004
